?Specia,GrupaSpecii,Simbol,SortimentPrimar,GrupaSpeciiSortiment,SortimentIndustrial,SortimentSUMAL,SubsortimentSUMAL,PretFasonat_lei_mc
Garnita (L),Foioase,Ga,LEMN ROTUND,ST Go Ga,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,390.0
Garnita (L),Foioase,Ga,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Garnita (L),Foioase,Ga,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Garnita (S),Foioase,Ga,LEMN ROTUND,ST Go Ga,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,630.0
Garnita (S),Foioase,Ga,LEMN ROTUND,ST Go Ga,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,560.0
Garnita (S),Foioase,Ga,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Garnita (S),Foioase,Ga,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Garnita (S),Foioase,Ga,LEMN ROTUND,ST Go Ga,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,390.0
Garnita (S),Foioase,Ga,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Garnita (S),Foioase,Ga,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Gorun (L),Foioase,Go,LEMN ROTUND,ST Go Ga,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,630.0
Gorun (L),Foioase,Go,LEMN ROTUND,ST Go Ga,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,560.0
Gorun (L),Foioase,Go,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Gorun (L),Foioase,Go,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Gorun (L),Foioase,Go,LEMN ROTUND,ST Go Ga,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,390.0
Gorun (L),Foioase,Go,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
